product_id,product_name,product_category,price
PROD00096,Office Furniture Product 00096,Office Furniture,219.9
PROD00097,Electronics Product 00097,Electronics,72.0
PROD00098,Toys Product 00098,Toys,99.99
PROD00099,Sports Leisure Product 00099,Sports Leisure,43.9
PROD00100,Industry Commerce And Business Product 00100,Industry Commerce And Business,64.9
PROD00101,Computers Accessories Product 00101,Computers Accessories,27.9
PROD00102,Telephony Product 00102,Telephony,44.99
PROD00103,Cool Stuff Product 00103,Cool Stuff,193.5
PROD00104,Bed Bath Table Product 00104,Bed Bath Table,55.0
PROD00105,Baby Product 00105,Baby,14.99
PROD00106,Perfumery Product 00106,Perfumery,99.99
PROD00107,Musical Instruments Product 00107,Musical Instruments,199.0
PROD00108,Sports Leisure Product 00108,Sports Leisure,45.9
PROD00109,Computers Accessories Product 00109,Computers Accessories,110.0
PROD00110,Fashion Bags Accessories Product 00110,Fashion Bags Accessories,159.9
PROD00111,Watches Gifts Product 00111,Watches Gifts,489.0
PROD00112,Furniture Decor Product 00112,Furniture Decor,86.73
PROD00113,Garden Tools Product 00113,Garden Tools,126.99
PROD00114,Furniture Decor Product 00114,Furniture Decor,49.9
PROD00115,Auto Product 00115,Auto,64.8
PROD00116,Baby Product 00116,Baby,51.99
PROD00117,Consoles Games Product 00117,Consoles Games,246.97
PROD00118,Telephony Product 00118,Telephony,12.5
PROD00119,Health Beauty Product 00119,Health Beauty,95.0
PROD00120,Sports Leisure Product 00120,Sports Leisure,84.9
PROD00121,Garden Tools Product 00121,Garden Tools,44.0
PROD00122,Books Technical Product 00122,Books Technical,48.99
PROD00123,Sports Leisure Product 00123,Sports Leisure,79.0
PROD00124,Sports Leisure Product 00124,Sports Leisure,209.0
PROD00125,Garden Tools Product 00125,Garden Tools,329.9
PROD00126,Home Appliances 2 Product 00126,Home Appliances 2,204.0
PROD00127,Baby Product 00127,Baby,45.0
PROD00128,Fashion Bags Accessories Product 00128,Fashion Bags Accessories,39.9
PROD00129,Bed Bath Table Product 00129,Bed Bath Table,49.9
PROD00130,Air Conditioning Product 00130,Air Conditioning,190.0
PROD00131,Bed Bath Table Product 00131,Bed Bath Table,59.4
PROD00132,Stationery Product 00132,Stationery,40.0
PROD00133,Construction Tools Lights Product 00133,Construction Tools Lights,75.0
PROD00134,Office Furniture Product 00134,Office Furniture,79.99
PROD00135,Sports Leisure Product 00135,Sports Leisure,159.99
PROD00136,Stationery Product 00136,Stationery,59.9
PROD00137,Computers Accessories Product 00137,Computers Accessories,1011.86
PROD00138,Cool Stuff Product 00138,Cool Stuff,130.0
PROD00139,Fashion Bags Accessories Product 00139,Fashion Bags Accessories,115.0
PROD00140,Sports Leisure Product 00140,Sports Leisure,99.0
PROD00141,Housewares Product 00141,Housewares,23.9
PROD00142,Books General Interest Product 00142,Books General Interest,42.4
PROD00143,Housewares Product 00143,Housewares,15.55
PROD00144,Furniture Decor Product 00144,Furniture Decor,59.9
PROD00145,Bed Bath Table Product 00145,Bed Bath Table,35.0
PROD00146,Garden Tools Product 00146,Garden Tools,97.5
PROD00147,Housewares Product 00147,Housewares,52.99
PROD00148,Baby Product 00148,Baby,39.9
PROD00149,Watches Gifts Product 00149,Watches Gifts,49.0
PROD00150,Health Beauty Product 00150,Health Beauty,119.9
PROD00151,Perfumery Product 00151,Perfumery,199.9
PROD00152,Housewares Product 00152,Housewares,93.5
PROD00153,Sports Leisure Product 00153,Sports Leisure,84.94
PROD00154,Bed Bath Table Product 00154,Bed Bath Table,65.99
PROD00155,Cool Stuff Product 00155,Cool Stuff,34.9
PROD00156,Health Beauty Product 00156,Health Beauty,62.0
PROD00157,Computers Accessories Product 00157,Computers Accessories,13.99
PROD00158,Perfumery Product 00158,Perfumery,97.99
PROD00159,Telephony Product 00159,Telephony,19.99
PROD00160,Housewares Product 00160,Housewares,209.9
PROD00161,Electronics Product 00161,Electronics,18.9
PROD00162,Housewares Product 00162,Housewares,37.0
PROD00163,Auto Product 00163,Auto,179.49
PROD00164,Bed Bath Table Product 00164,Bed Bath Table,26.9
PROD00165,Sports Leisure Product 00165,Sports Leisure,59.9
PROD00166,Sports Leisure Product 00166,Sports Leisure,89.9
PROD00167,Small Appliances Product 00167,Small Appliances,69.0
PROD00168,Health Beauty Product 00168,Health Beauty,49.9
PROD00169,Bed Bath Table Product 00169,Bed Bath Table,142.99
PROD00170,Drinks Product 00170,Drinks,47.99
PROD00171,Stationery Product 00171,Stationery,59.9
PROD00172,Stationery Product 00172,Stationery,59.98
PROD00173,Furniture Decor Product 00173,Furniture Decor,149.0
PROD00174,Furniture Living Room Product 00174,Furniture Living Room,79.9
PROD00175,Housewares Product 00175,Housewares,169.9
PROD00176,Luggage Accessories Product 00176,Luggage Accessories,89.99
PROD00177,Housewares Product 00177,Housewares,104.97
PROD00178,Housewares Product 00178,Housewares,34.9
PROD00179,Health Beauty Product 00179,Health Beauty,59.0
PROD00180,Computers Accessories Product 00180,Computers Accessories,129.0
PROD00181,Costruction Tools Garden Product 00181,Costruction Tools Garden,735.0
PROD00182,Cool Stuff Product 00182,Cool Stuff,164.9
PROD00183,Perfumery Product 00183,Perfumery,19.99
PROD00184,Fashion Bags Accessories Product 00184,Fashion Bags Accessories,29.9
PROD00185,Telephony Product 00185,Telephony,35.9
PROD00186,Sports Leisure Product 00186,Sports Leisure,12.5
PROD00187,Auto Product 00187,Auto,229.99
PROD00188,Watches Gifts Product 00188,Watches Gifts,128.75
PROD00189,Consoles Games Product 00189,Consoles Games,34.9
PROD00190,Toys Product 00190,Toys,94.5
PROD00191,Bed Bath Table Product 00191,Bed Bath Table,89.99
PROD00192,Health Beauty Product 00192,Health Beauty,87.51
PROD00193,Construction Tools Construction Product 00193,Construction Tools Construction,236.9
PROD00194,Computers Accessories Product 00194,Computers Accessories,89.9
PROD00195,Cool Stuff Product 00195,Cool Stuff,95.4
PROD00196,Sports Leisure Product 00196,Sports Leisure,25.0
PROD00197,Industry Commerce And Business Product 00197,Industry Commerce And Business,69.0
PROD00198,Cool Stuff Product 00198,Cool Stuff,130.0
PROD00199,Health Beauty Product 00199,Health Beauty,49.9
PROD00200,Toys Product 00200,Toys,32.9
PROD00201,Sports Leisure Product 00201,Sports Leisure,569.9
PROD00202,Bed Bath Table Product 00202,Bed Bath Table,113.57
PROD00203,Bed Bath Table Product 00203,Bed Bath Table,160.0
PROD00204,Cool Stuff Product 00204,Cool Stuff,599.0
PROD00205,Watches Gifts Product 00205,Watches Gifts,510.99
PROD00206,Sports Leisure Product 00206,Sports Leisure,84.4
PROD00207,Garden Tools Product 00207,Garden Tools,179.9
PROD00208,Audio Product 00208,Audio,79.0
PROD00209,Health Beauty Product 00209,Health Beauty,1299.9
PROD00210,Furniture Decor Product 00210,Furniture Decor,149.9
PROD00211,Sports Leisure Product 00211,Sports Leisure,40.0
PROD00212,Furniture Decor Product 00212,Furniture Decor,29.99
PROD00213,Telephony Product 00213,Telephony,1099.0
PROD00214,Consoles Games Product 00214,Consoles Games,89.99
PROD00215,Health Beauty Product 00215,Health Beauty,69.9
PROD00216,Bed Bath Table Product 00216,Bed Bath Table,56.99
PROD00217,Housewares Product 00217,Housewares,36.9
PROD00218,Small Appliances Product 00218,Small Appliances,30.0
PROD00219,Computers Accessories Product 00219,Computers Accessories,49.99
PROD00220,Bed Bath Table Product 00220,Bed Bath Table,59.99
PROD00221,Bed Bath Table Product 00221,Bed Bath Table,159.9
PROD00222,Garden Tools Product 00222,Garden Tools,202.89
PROD00223,Sports Leisure Product 00223,Sports Leisure,79.97
PROD00224,Furniture Decor Product 00224,Furniture Decor,46.5
PROD00225,Bed Bath Table Product 00225,Bed Bath Table,69.9
PROD00226,Telephony Product 00226,Telephony,94.99
PROD00227,Stationery Product 00227,Stationery,43.4
PROD00228,Kitchen Dining Laundry Garden Furniture Product 00228,Kitchen Dining Laundry Garden Furniture,175.0
PROD00229,Construction Tools Construction Product 00229,Construction Tools Construction,178.5
PROD00230,Music Product 00230,Music,99.9
PROD00231,Cool Stuff Product 00231,Cool Stuff,249.99
PROD00232,Electronics Product 00232,Electronics,699.9
PROD00233,Construction Tools Construction Product 00233,Construction Tools Construction,298.0
PROD00234,Toys Product 00234,Toys,106.9
PROD00235,Health Beauty Product 00235,Health Beauty,109.0
PROD00236,Housewares Product 00236,Housewares,57.0
PROD00237,Auto Product 00237,Auto,90.0
PROD00238,Computers Accessories Product 00238,Computers Accessories,26.9
PROD00239,Books Technical Product 00239,Books Technical,14.95
PROD00240,Toys Product 00240,Toys,120.0
PROD00241,Furniture Decor Product 00241,Furniture Decor,49.0
PROD00242,Toys Product 00242,Toys,66.5
PROD00243,Furniture Decor Product 00243,Furniture Decor,49.9
PROD00244,Bed Bath Table Product 00244,Bed Bath Table,169.0
PROD00245,Computers Accessories Product 00245,Computers Accessories,31.9
PROD00246,Cool Stuff Product 00246,Cool Stuff,26.5
PROD00247,Stationery Product 00247,Stationery,89.0
PROD00248,Telephony Product 00248,Telephony,25.0
PROD00249,Market Place Product 00249,Market Place,130.0
PROD00250,Auto Product 00250,Auto,249.5
PROD00251,Furniture Decor Product 00251,Furniture Decor,59.9
PROD00252,Sports Leisure Product 00252,Sports Leisure,290.0
PROD00253,Telephony Product 00253,Telephony,108.0
PROD00254,Music Product 00254,Music,52.61
PROD00255,Housewares Product 00255,Housewares,63.0
PROD00256,Housewares Product 00256,Housewares,49.8
PROD00257,Musical Instruments Product 00257,Musical Instruments,94.87
PROD00258,Stationery Product 00258,Stationery,78.0
PROD00259,Bed Bath Table Product 00259,Bed Bath Table,169.9
PROD00260,Construction Tools Construction Product 00260,Construction Tools Construction,149.99
PROD00261,Fashion Male Clothing Product 00261,Fashion Male Clothing,169.0
PROD00262,Cool Stuff Product 00262,Cool Stuff,199.0
PROD00263,Food Product 00263,Food,149.9
PROD00264,Party Supplies Product 00264,Party Supplies,257.6
PROD00265,Auto Product 00265,Auto,145.0
PROD00266,Stationery Product 00266,Stationery,53.0
PROD00267,Health Beauty Product 00267,Health Beauty,49.9
PROD00268,Bed Bath Table Product 00268,Bed Bath Table,219.99
PROD00269,Health Beauty Product 00269,Health Beauty,529.9
PROD00270,Sports Leisure Product 00270,Sports Leisure,199.9
PROD00271,Bed Bath Table Product 00271,Bed Bath Table,51.9
PROD00272,Telephony Product 00272,Telephony,19.99
PROD00273,Sports Leisure Product 00273,Sports Leisure,379.9
PROD00274,Auto Product 00274,Auto,79.9
PROD00275,Housewares Product 00275,Housewares,59.9
PROD00276,Furniture Decor Product 00276,Furniture Decor,124.9
PROD00277,Toys Product 00277,Toys,34.9
PROD00278,Watches Gifts Product 00278,Watches Gifts,110.0
PROD00279,Bed Bath Table Product 00279,Bed Bath Table,79.9
PROD00280,Telephony Product 00280,Telephony,682.0
PROD00281,Cool Stuff Product 00281,Cool Stuff,219.9
PROD00282,Pet Shop Product 00282,Pet Shop,42.99
PROD00283,Sports Leisure Product 00283,Sports Leisure,51.9
PROD00284,Pet Shop Product 00284,Pet Shop,69.99
PROD00285,Toys Product 00285,Toys,99.99
PROD00286,Watches Gifts Product 00286,Watches Gifts,759.0
PROD00287,Auto Product 00287,Auto,16.1
PROD00288,Telephony Product 00288,Telephony,29.99
PROD00289,Computers Accessories Product 00289,Computers Accessories,98.9
PROD00290,Auto Product 00290,Auto,129.99
PROD00291,Auto Product 00291,Auto,59.9
PROD00292,Housewares Product 00292,Housewares,19.9
PROD00293,Furniture Decor Product 00293,Furniture Decor,45.9
PROD00294,Sports Leisure Product 00294,Sports Leisure,90.0
PROD00295,Bed Bath Table Product 00295,Bed Bath Table,134.55
PROD00296,Computers Accessories Product 00296,Computers Accessories,170.0
PROD00297,Electronics Product 00297,Electronics,118.9
PROD00298,Sports Leisure Product 00298,Sports Leisure,99.98
PROD00299,Sports Leisure Product 00299,Sports Leisure,39.5
PROD00300,Computers Accessories Product 00300,Computers Accessories,30.22
PROD00301,Housewares Product 00301,Housewares,49.9
PROD00302,Health Beauty Product 00302,Health Beauty,95.0
PROD00303,Tablets Printing Image Product 00303,Tablets Printing Image,99.0
PROD00304,Baby Product 00304,Baby,85.0
PROD00305,Auto Product 00305,Auto,78.9
PROD00306,Electronics Product 00306,Electronics,19.9
PROD00307,Sports Leisure Product 00307,Sports Leisure,129.9
PROD00308,Computers Accessories Product 00308,Computers Accessories,55.9
PROD00309,Home Appliances Product 00309,Home Appliances,329.9
PROD00310,Health Beauty Product 00310,Health Beauty,28.99
PROD00311,Computers Accessories Product 00311,Computers Accessories,30.0
PROD00312,Costruction Tools Garden Product 00312,Costruction Tools Garden,152.4
PROD00313,Furniture Decor Product 00313,Furniture Decor,50.9
PROD00314,Food Product 00314,Food,48.89
PROD00315,Computers Accessories Product 00315,Computers Accessories,85.52
PROD00316,Toys Product 00316,Toys,725.0
PROD00317,Housewares Product 00317,Housewares,49.28
PROD00318,Luggage Accessories Product 00318,Luggage Accessories,134.99
PROD00319,Costruction Tools Garden Product 00319,Costruction Tools Garden,139.9
PROD00320,Home Appliances 2 Product 00320,Home Appliances 2,1148.0
PROD00321,Luggage Accessories Product 00321,Luggage Accessories,50.9
PROD00322,Furniture Decor Product 00322,Furniture Decor,28.9
PROD00323,Auto Product 00323,Auto,19.0
PROD00324,Computers Accessories Product 00324,Computers Accessories,177.99
PROD00325,Watches Gifts Product 00325,Watches Gifts,59.0
PROD00326,Toys Product 00326,Toys,59.99
PROD00327,Furniture Decor Product 00327,Furniture Decor,49.9
PROD00328,Pet Shop Product 00328,Pet Shop,29.9
PROD00329,Home Confort Product 00329,Home Confort,8.0
PROD00330,Stationery Product 00330,Stationery,125.0
PROD00331,Health Beauty Product 00331,Health Beauty,135.49
PROD00332,Air Conditioning Product 00332,Air Conditioning,189.9
PROD00333,Watches Gifts Product 00333,Watches Gifts,49.0
PROD00334,Bed Bath Table Product 00334,Bed Bath Table,55.0
PROD00335,Books Technical Product 00335,Books Technical,63.0
PROD00336,Toys Product 00336,Toys,65.99
PROD00337,Bed Bath Table Product 00337,Bed Bath Table,111.9
PROD00338,Auto Product 00338,Auto,40.0
PROD00339,Telephony Product 00339,Telephony,24.99
PROD00340,Bed Bath Table Product 00340,Bed Bath Table,159.9
PROD00341,Cool Stuff Product 00341,Cool Stuff,209.99
PROD00342,Housewares Product 00342,Housewares,89.9
PROD00343,Garden Tools Product 00343,Garden Tools,39.9
PROD00344,Home Appliances Product 00344,Home Appliances,80.0
PROD00345,Electronics Product 00345,Electronics,469.0
PROD00346,Watches Gifts Product 00346,Watches Gifts,35.0
PROD00347,Sports Leisure Product 00347,Sports Leisure,44.5
PROD00348,Furniture Decor Product 00348,Furniture Decor,46.99
PROD00349,Health Beauty Product 00349,Health Beauty,60.11
PROD00350,Telephony Product 00350,Telephony,28.9
PROD00351,Health Beauty Product 00351,Health Beauty,46.2
PROD00352,Baby Product 00352,Baby,290.0
PROD00353,Cool Stuff Product 00353,Cool Stuff,64.49
PROD00354,Bed Bath Table Product 00354,Bed Bath Table,437.39
PROD00355,Bed Bath Table Product 00355,Bed Bath Table,63.0
PROD00356,Pet Shop Product 00356,Pet Shop,179.99
PROD00357,Sports Leisure Product 00357,Sports Leisure,28.13
PROD00358,Computers Accessories Product 00358,Computers Accessories,49.95
PROD00359,Perfumery Product 00359,Perfumery,40.99
PROD00360,Sports Leisure Product 00360,Sports Leisure,411.0
PROD00361,Housewares Product 00361,Housewares,20.9
PROD00362,Housewares Product 00362,Housewares,79.0
PROD00363,Bed Bath Table Product 00363,Bed Bath Table,54.9
PROD00364,Furniture Decor Product 00364,Furniture Decor,55.91
PROD00365,Toys Product 00365,Toys,19.9
PROD00366,Agro Industry And Commerce Product 00366,Agro Industry And Commerce,27.5
PROD00367,Garden Tools Product 00367,Garden Tools,469.9
PROD00368,Furniture Decor Product 00368,Furniture Decor,134.9
PROD00369,Cool Stuff Product 00369,Cool Stuff,88.4
PROD00370,Musical Instruments Product 00370,Musical Instruments,458.28
PROD00371,Toys Product 00371,Toys,38.0
PROD00372,Baby Product 00372,Baby,48.9
PROD00373,Watches Gifts Product 00373,Watches Gifts,179.89
PROD00374,Electronics Product 00374,Electronics,42.9
PROD00375,Books Technical Product 00375,Books Technical,143.0
PROD00376,Stationery Product 00376,Stationery,94.0
PROD00377,Furniture Decor Product 00377,Furniture Decor,137.5
PROD00378,Computers Accessories Product 00378,Computers Accessories,31.9
PROD00379,Home Appliances 2 Product 00379,Home Appliances 2,159.0
PROD00380,Sports Leisure Product 00380,Sports Leisure,189.0
PROD00381,Health Beauty Product 00381,Health Beauty,58.9
PROD00382,Health Beauty Product 00382,Health Beauty,107.65
PROD00383,Furniture Decor Product 00383,Furniture Decor,32.9
PROD00384,Auto Product 00384,Auto,131.1
PROD00385,Sports Leisure Product 00385,Sports Leisure,19.25
PROD00386,Housewares Product 00386,Housewares,87.5
PROD00387,Baby Product 00387,Baby,50.0
PROD00388,Construction Tools Construction Product 00388,Construction Tools Construction,189.0
PROD00389,Office Furniture Product 00389,Office Furniture,40.0
PROD00390,Furniture Living Room Product 00390,Furniture Living Room,329.9
PROD00391,Furniture Decor Product 00391,Furniture Decor,99.44
PROD00392,Sports Leisure Product 00392,Sports Leisure,145.0
PROD00393,Food Drink Product 00393,Food Drink,119.9
PROD00394,Furniture Decor Product 00394,Furniture Decor,59.8
PROD00395,Perfumery Product 00395,Perfumery,11.9
PROD00396,Computers Accessories Product 00396,Computers Accessories,65.99
PROD00397,Stationery Product 00397,Stationery,109.49
PROD00398,Pet Shop Product 00398,Pet Shop,60.0
PROD00399,Toys Product 00399,Toys,69.99
PROD00400,Bed Bath Table Product 00400,Bed Bath Table,139.9
PROD00401,Housewares Product 00401,Housewares,30.95
PROD00402,Stationery Product 00402,Stationery,118.9
PROD00403,Bed Bath Table Product 00403,Bed Bath Table,8.99
PROD00404,Health Beauty Product 00404,Health Beauty,34.9
PROD00405,Sports Leisure Product 00405,Sports Leisure,120.0
PROD00406,Books General Interest Product 00406,Books General Interest,124.9
PROD00407,Toys Product 00407,Toys,20.03
PROD00408,Housewares Product 00408,Housewares,11.35
PROD00409,Fashion Bags Accessories Product 00409,Fashion Bags Accessories,69.99
PROD00410,Toys Product 00410,Toys,299.99
PROD00411,Housewares Product 00411,Housewares,42.9
PROD00412,Auto Product 00412,Auto,49.9
PROD00413,Telephony Product 00413,Telephony,21.99
PROD00414,Toys Product 00414,Toys,149.0
PROD00415,Watches Gifts Product 00415,Watches Gifts,1499.99
PROD00416,Home Appliances Product 00416,Home Appliances,17.5
PROD00417,Cool Stuff Product 00417,Cool Stuff,177.0
PROD00418,Telephony Product 00418,Telephony,21.99
PROD00419,Sports Leisure Product 00419,Sports Leisure,317.0
PROD00420,Furniture Decor Product 00420,Furniture Decor,124.9
PROD00421,Perfumery Product 00421,Perfumery,259.9
PROD00422,Telephony Product 00422,Telephony,39.99
PROD00423,Telephony Product 00423,Telephony,22.9
PROD00424,Furniture Decor Product 00424,Furniture Decor,44.99
PROD00425,Furniture Decor Product 00425,Furniture Decor,399.99
PROD00426,Construction Tools Construction Product 00426,Construction Tools Construction,21.27
PROD00427,Health Beauty Product 00427,Health Beauty,153.4
PROD00428,Fashion Sport Product 00428,Fashion Sport,89.9
PROD00429,Cool Stuff Product 00429,Cool Stuff,149.9
PROD00430,Market Place Product 00430,Market Place,32.9
PROD00431,Musical Instruments Product 00431,Musical Instruments,49.9
PROD00432,Telephony Product 00432,Telephony,21.99
PROD00433,Small Appliances Product 00433,Small Appliances,1249.0
PROD00434,Cool Stuff Product 00434,Cool Stuff,129.99
PROD00435,Auto Product 00435,Auto,652.0
PROD00436,Auto Product 00436,Auto,139.9
PROD00437,Watches Gifts Product 00437,Watches Gifts,178.0
PROD00438,Toys Product 00438,Toys,338.9
PROD00439,Watches Gifts Product 00439,Watches Gifts,55.0
PROD00440,Perfumery Product 00440,Perfumery,289.9
PROD00441,Baby Product 00441,Baby,37.39
PROD00442,Bed Bath Table Product 00442,Bed Bath Table,15.9
PROD00443,Bed Bath Table Product 00443,Bed Bath Table,59.9
PROD00444,Computers Accessories Product 00444,Computers Accessories,41.9
PROD00445,Party Supplies Product 00445,Party Supplies,16.9
PROD00446,Health Beauty Product 00446,Health Beauty,118.9
PROD00447,Baby Product 00447,Baby,139.9
PROD00448,Small Appliances Product 00448,Small Appliances,20.9
PROD00449,Luggage Accessories Product 00449,Luggage Accessories,69.0
PROD00450,Bed Bath Table Product 00450,Bed Bath Table,53.2
PROD00451,Telephony Product 00451,Telephony,19.9
PROD00452,Computers Accessories Product 00452,Computers Accessories,25.3
PROD00453,Cool Stuff Product 00453,Cool Stuff,224.99
PROD00454,Sports Leisure Product 00454,Sports Leisure,53.99
PROD00455,Auto Product 00455,Auto,70.0
PROD00456,Toys Product 00456,Toys,87.99
PROD00457,Costruction Tools Garden Product 00457,Costruction Tools Garden,198.0
PROD00458,Computers Accessories Product 00458,Computers Accessories,142.0
PROD00459,Telephony Product 00459,Telephony,97.9
PROD00460,Computers Accessories Product 00460,Computers Accessories,69.9
PROD00461,Housewares Product 00461,Housewares,125.0
PROD00462,Watches Gifts Product 00462,Watches Gifts,39.0
PROD00463,Watches Gifts Product 00463,Watches Gifts,38.0
PROD00464,Office Furniture Product 00464,Office Furniture,399.9
PROD00465,Health Beauty Product 00465,Health Beauty,64.9
PROD00466,Fashion Bags Accessories Product 00466,Fashion Bags Accessories,41.3
PROD00467,Christmas Supplies Product 00467,Christmas Supplies,88.9
PROD00468,Sports Leisure Product 00468,Sports Leisure,49.99
PROD00469,Toys Product 00469,Toys,249.99
PROD00470,Health Beauty Product 00470,Health Beauty,38.99
PROD00471,Furniture Decor Product 00471,Furniture Decor,75.0
PROD00472,Furniture Decor Product 00472,Furniture Decor,150.78
PROD00473,Sports Leisure Product 00473,Sports Leisure,29.99
PROD00474,Sports Leisure Product 00474,Sports Leisure,17.24
PROD00475,Small Appliances Product 00475,Small Appliances,98.72
PROD00476,Toys Product 00476,Toys,15.9
PROD00477,Health Beauty Product 00477,Health Beauty,183.0
PROD00478,Computers Accessories Product 00478,Computers Accessories,30.21
PROD00479,Baby Product 00479,Baby,39.9
PROD00480,Fashion Bags Accessories Product 00480,Fashion Bags Accessories,33.6
PROD00481,Small Appliances Product 00481,Small Appliances,635.9
